SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"THERMAX","4,632.00","4,729.00","4,611.00","4,662.00","4,711.00","-","49","1.05","67045","31.47","5,277.80","2,742.70","0.17","21.14"
"GODREJPROP","2,090.00","2,097.90","2,065.50","2,102.10","2,091.00","-","-11.1","-0.53","150694","31.37","2,407.90","1,434.00","16.5","-11.55"
"TIINDIA","2,892.00","2,892.00","2,842.20","2,888.60","2,888.00","-","-0.6","-0.02","109510","31.33","3,419.90","2,164.90","-12.1","-1.06"
"ASTRAL","1,368.00","1,403.80","1,367.80","1,377.80","1,396.00","-","18.2","1.32","224350","31.23","1,768.70","1,263.70","-9.51","-7.4"
"BRITANNIA","5,412.50","5,483.00","5,391.50","5,412.50","5,451.00","-","38.5","0.71","57349","31.21","6,336.00","5,035.00","4.91","-4.98"
"COCHINSHIP","1,401.00","1,405.10","1,392.90","1,402.20","1,398.00","-","-4.2","-0.3","222802","31.17","1,979.90","1,187.00","-4.07","-25.1"
"CONCOR","490.00","495.70","485.05","486.90","494.10","-","7.2","1.48","632766","31.13","625.00","421.45","4.8","-19.38"
"LTM","4,075.60","4,148.00","4,066.00","4,075.60","4,100.10","-","24.5","0.6","75830","31.04","6,429.50","3,528.00","7.01","-19.96"
"RKFORGE","566.90","568.60","553.25","568.25","557.15","-","-11.1","-1.95","552933","30.92","657.25","460.15","-5.38","-13.5"
"ICICIPRULI","497.15","502.35","494.35","497.15","501.20","-","4.05","0.81","614799","30.65","706.80","459.50","0.2","-20.91"
"TARIL","332.00","332.00","320.85","332.50","327.75","-","-4.75","-1.43","935749","30.56","578.50","224.05","-8.35","-36.05"
"JSL","733.90","740.75","727.45","737.50","737.05","-","-0.45","-0.06","412727","30.50","884.00","652.25","5.81","8.96"
"MRF","1,30,550.00","1,32,455.00","1,30,500.00","1,30,695.00","1,31,990.00","-","1295","0.99","2292","30.20","1,63,600.00","1,22,000.00","2.64","-10.82"
"CANFINHOME","895.00","902.25","850.00","889.45","870.65","-","-18.8","-2.11","342819","29.92","971.50","708.60","-1.58","6.66"
"PWL","136.05","137.30","133.61","136.05","134.55","-","-1.5","-1.1","2195239","29.76","161.99","77.72","9.78","0"
"PGEL","611.70","616.25","606.25","617.65","610.70","-","-6.95","-1.13","482799","29.51","836.45","436.55","9.01","-24.48"
"SBICARD","658.00","658.00","648.00","654.70","650.55","-","-4.15","-0.63","452121","29.47","965.00","565.45","5.45","-27.28"
"CPPLUS","3,556.10","3,661.00","3,535.00","3,614.40","3,576.60","-","-36.2","-1","80644","29.05","3,866.00","1,015.00","-1.67","0"
"ATGL","711.00","717.60","707.55","706.60","711.35","-","4.75","0.67","404560","28.80","859.85","462.80","-2.22","8.83"
"IRFC","88.38","89.15","87.64","88.41","88.50","-","0.09","0.1","3251126","28.74","138.00","86.93","-11.08","-33.89"
"SRF","2,869.90","2,894.60","2,845.90","2,874.70","2,879.50","-","4.8","0.17","97273","27.94","3,260.40","2,355.00","6.27","-9.65"
"MFSL","1,538.00","1,560.80","1,536.10","1,538.00","1,545.80","-","7.8","0.51","179492","27.77","1,892.50","1,433.60","-7.4","0.43"
"GRANULES","880.80","901.00","878.00","880.80","885.40","-","4.6","0.52","309758","27.57","910.00","432.60","12.45","78.34"
"BAJAJHLDNG","10,369.00","10,446.00","10,308.00","10,398.00","10,324.00","-","-74","-0.71","26581","27.49","14,763.00","8,588.00","-3.26","-25.41"
"LUPIN","2,431.20","2,480.20","2,424.00","2,443.20","2,466.90","-","23.7","0.97","111050","27.38","2,529.50","1,836.80","4.92","27.69"
"BATAINDIA","698.00","715.00","692.70","693.40","711.00","-","17.6","2.54","387196","27.21","1,282.50","605.00","-5.02","-41.76"
"ACUTAAS","3,619.40","3,663.00","3,601.70","3,619.40","3,655.60","-","36.2","1","74234","27.02","3,740.00","1,125.00","12.55","203.67"
"KEI","4,870.00","4,949.00","4,861.50","4,906.50","4,901.50","-","-5","-0.1","54877","27.00","5,708.00","3,712.20","-12.96","24.76"
"PHOENIXLTD","2,080.00","2,092.80","2,052.10","2,075.80","2,075.50","-","-0.3","-0.01","129237","26.80","2,169.80","1,402.50","10.3","39.59"
"PIRAMALFIN","2,144.50","2,174.30","2,112.80","2,144.30","2,133.00","-","-11.3","-0.53","123695","26.49","2,220.00","1,260.00","-0.94","0"
"HYUNDAI","1,990.00","2,004.90","1,980.20","1,993.30","1,984.50","-","-8.8","-0.44","132947","26.47","2,890.00","1,658.00","0.58","-6.4"
"FORCEMOT","18,280.00","18,334.00","18,118.00","18,244.00","18,201.00","-","-43","-0.24","14499","26.43","26,450.00","14,911.00","-2.33","9.54"
"NUVOCO","349.00","359.10","345.60","348.75","354.85","-","6.1","1.75","743860","26.40","477.50","276.25","13.46","-8.47"
"BDL","1,254.30","1,264.40","1,247.40","1,254.80","1,255.40","-","0.6","0.05","209667","26.33","1,814.90","1,086.00","-8.53","-24.84"
"UNITDSPR","1,367.00","1,387.40","1,363.50","1,375.80","1,383.20","-","7.4","0.54","190021","26.19","1,488.00","1,210.80","4.8","1.59"
"ABSLAMC","1,145.00","1,167.30","1,130.60","1,150.60","1,131.40","-","-19.2","-1.67","224880","25.77","1,224.90","708.00","-4.15","30.92"
"HDFCLIFE","567.30","567.30","561.45","563.65","564.05","-","0.4","0.07","455141","25.64","815.00","543.00","-4.64","-23.68"
"JSWINFRA","342.15","344.00","339.15","342.15","342.50","-","0.35","0.1","738311","25.24","355.80","233.42","11.16","11.24"
"NAM-INDIA","1,184.00","1,187.50","1,173.80","1,186.50","1,176.80","-","-9.7","-0.82","212770","25.10","1,233.50","780.25","-1","39.64"
"ABCAPITAL","400.95","402.15","398.05","401.55","398.90","-","-2.65","-0.66","627381","25.10","410.70","243.00","6.12","50.9"
"KFINTECH","889.95","889.95","874.10","887.90","878.60","-","-9.3","-1.05","282527","24.88","1,288.00","784.95","-4.02","-30.26"
"SYRMA","1,349.80","1,357.80","1,330.10","1,359.10","1,348.90","-","-10.2","-0.75","184059","24.82","1,517.70","634.50","1.06","91.18"
"GRASIM","3,135.00","3,140.00","3,085.00","3,109.70","3,132.50","-","22.8","0.73","79266","24.69","3,246.00","2,502.50","-0.54","14.81"
